id,name,display_name,time_minutes,protocol_family,cards_to_draw,work_structure,rest_structure,scoring_method,intensity_target,recommended_difficulty_min,recommended_difficulty_max,allows_plyometrics,max_plyometric_cards,requires_timer,instructions_short,instructions_long,science_rationale,safety_notes,status,version,review_status,last_reviewed
pyramid_10,Pyramid 10,Pyramid 10,10,pyramid,4,Ascending then descending reps,Rest as needed,Highest completed rung,RPE 7,1,4,FALSE,0,FALSE,Build reps up and back down across four cards.,Use 2-4-6-8 reps per card then descend as time allows. Keep movement quality consistent.,Progressive volume improves pacing awareness.,Avoid large jumps on high-load exercises.,active,1.0,reviewed,2026-06-01
pyramid_15,Pyramid 15,Pyramid 15,15,pyramid,5,Ascending then descending reps,Rest as needed,Highest completed rung,RPE 7,1,4,FALSE,0,FALSE,Build and descend a longer five-card pyramid.,Use conservative increases and descend before form quality drops. Time-based cards use short holds.,Longer pyramids accumulate volume with a clear structure.,Scale early if fatigue changes mechanics.,active,1.0,reviewed,2026-06-01
ladder_5,Ladder 5,Ladder 5,5,ladder,3,Increase reps each round,Rest as needed,Final completed ladder step,RPE 7,1,3,FALSE,0,FALSE,Add reps each round for 5 minutes.,Start with a small rep count and add one or two reps each round across all cards.,Ladders create gradual overload and easy score tracking.,Keep early rounds easy enough to preserve quality.,active,1.0,reviewed,2026-06-01
ladder_10,Ladder 10,Ladder 10,10,ladder,4,Increase reps each round,Rest as needed,Final completed ladder step,RPE 7,1,4,FALSE,0,FALSE,Add reps each round for 10 minutes.,Move through four cards and increase the rep target each completed round.,Gradual increases encourage pacing and repeatability.,Cap reps before technique fails.,active,1.0,reviewed,2026-06-01
ladder_15,Ladder 15,Ladder 15,15,ladder,5,Increase reps each round,Rest as needed,Final completed ladder step,RPE 7,1,4,FALSE,0,FALSE,Add reps each round for 15 minutes.,Use five cards and climb carefully. Keep the ladder submaximal until the final minutes.,Ladders provide progressive density over a defined time.,Use regressions once fatigue affects control.,active,1.0,reviewed,2026-06-01
chipper_10,Chipper 10,Chipper 10,10,chipper,5,Complete all assigned work once,Rest as needed,Time or work completed,RPE 7-8,1,4,TRUE,1,FALSE,Complete the card list once in order.,Work through all cards once using the prescribed reps or time. If time expires; record where you finished.,Chippers emphasize task completion and pacing across varied movements.,Do not sprint the first card; keep transitions safe.,active,1.0,reviewed,2026-06-01
chipper_15,Chipper 15,Chipper 15,15,chipper,6,Complete all assigned work once,Rest as needed,Time or work completed,RPE 7,1,4,TRUE,2,FALSE,Complete the longer card list once in order.,Move through six cards one time. Record finish time or final completed card at 15 minutes.,Task-priority formats support varied conditioning and simple scoring.,Scale volume for loaded or technical cards.,active,1.0,reviewed,2026-06-01
build_stack_10,Build the Stack 10,Build the Stack 10,10,build_stack,4,Add one new card each round,Rest as needed,Completed stack rounds,RPE 7,1,4,FALSE,0,FALSE,Add the next card each round until the stack is complete.,Round one uses card one. Round two uses cards one and two. Continue building and repeat as time allows.,Stacking creates repeated practice of early movements with rising complexity.,Place technical cards later only if fatigue risk is low.,active,1.0,reviewed,2026-06-01
build_stack_15,Build the Stack 15,Build the Stack 15,15,build_stack,5,Add one new card each round,Rest as needed,Completed stack rounds,RPE 7,1,4,FALSE,0,FALSE,Build a five-card stack over 15 minutes.,Add one card per round until all five are included; then continue full-stack rounds as time allows.,Stack formats accumulate volume in a predictable way.,Watch fatigue on repeated early cards.,active,1.0,reviewed,2026-06-01
cardio_sandwich_5,Cardio Sandwich 5,Cardio Sandwich 5,5,cardio_sandwich,3,Cardio card before and after strength card,Rest as needed,Completed sandwiches,RPE 7-8,1,3,TRUE,1,TRUE,Place a conditioning card before and after a strength card.,Use card one; then card two; then card one again. Repeat for 5 minutes with controlled effort.,Alternating conditioning and strength can raise heart rate while preserving simple structure.,Use low-impact cardio choices for beginners.,active,1.0,reviewed,2026-06-01
cardio_sandwich_10,Cardio Sandwich 10,Cardio Sandwich 10,10,cardio_sandwich,4,Conditioning cards bracket strength cards,Rest as needed,Completed rounds,RPE 7-8,1,4,TRUE,2,TRUE,Bracket strength work with conditioning cards.,Alternate conditioning and strength emphasis for 10 minutes. Keep the conditioning card repeatable.,Mixed emphasis supports variety and conditioning without complex planning.,Avoid high impact if joints are irritated.,active,1.0,reviewed,2026-06-01
chaser_10,Chaser 10,Chaser 10,10,chaser,4,Main cards followed by a short finisher,Rest as needed,Completed work plus finisher quality,RPE 8,1,4,TRUE,2,TRUE,Finish each round with a short conditioning chaser.,Complete the strength or skill cards; then perform the chaser card for a short timed burst. Repeat for 10 minutes.,Finishers add conditioning while keeping most work controlled.,The chaser should be simple and scalable.,active,1.0,reviewed,2026-06-01
density_block_10,Density Block 10,Density Block 10,10,density,4,Repeat fixed reps for density,Rest as needed,Total quality rounds,RPE 7,1,4,FALSE,0,TRUE,Repeat fixed reps and aim for quality density.,Choose manageable reps for each card and repeat the circuit for 10 minutes. Record total quality rounds.,Density blocks make progress measurable without maximal loading.,Keep reps submaximal and breathe between sets.,active,1.0,reviewed,2026-06-01
density_block_15,Density Block 15,Density Block 15,15,density,5,Repeat fixed reps for density,Rest as needed,Total quality rounds,RPE 7,1,4,FALSE,0,TRUE,Repeat fixed reps for a longer quality block.,Use five cards and a sustainable pace. Record rounds completed with good technique.,Longer density sessions build work capacity and pacing skill.,Reduce reps if quality drops after the midpoint.,active,1.0,reviewed,2026-06-01
